account_id,due_date,payment_date,days_past_due,overdue_amount,delinquency_flag
571212,2021-10-04,2021-10-09,5,1070.91,1
545199,2021-07-16,2021-07-26,10,2768.81,1
584754,2021-07-23,2021-08-12,20,2838.06,1
616705,2023-02-02,2023-04-03,60,1659.11,1
572913,2021-06-07,2021-07-07,30,4509.8,1
521991,2022-09-29,2022-10-09,10,1046.87,1
577977,2021-04-18,2021-05-08,20,905.91,1
618438,2022-08-08,2022-08-08,0,2497.86,0
517873,2021-07-23,2021-08-02,10,2559.81,1
502696,2020-05-20,2020-07-19,60,2933.63,1
566754,2022-10-18,2022-10-18,0,4853.18,0
608071,2020-05-28,2020-06-02,5,437.57,1
649407,2021-08-10,2021-08-10,0,4288.39,0
625640,2022-03-25,2022-05-24,60,4791.01,1
540001,2020-09-08,2020-09-08,0,239.77,0
517718,2021-11-23,2021-12-23,30,1113.41,1
574582,2020-04-28,2020-05-03,5,2997.91,1
608002,2023-01-10,2023-01-15,5,376.35,1
548857,2021-04-09,2021-04-09,0,4477.79,0
519868,2021-12-30,2022-02-28,60,3911.05,1
550535,2020-01-07,2020-03-07,60,2182.75,1
611398,2021-04-18,2021-04-18,0,4136.54,0
623705,2022-12-03,2022-12-03,0,788.39,0
644814,2021-01-24,2021-02-23,30,1892.38,1
616622,2022-07-08,2022-07-13,5,504.77,1
512472,2022-02-06,2022-03-08,30,3241.8,1
532533,2022-09-13,2022-09-13,0,227.45,0
591308,2024-01-01,2024-01-31,30,1216.67,1
585992,2020-06-11,2020-06-11,0,1952.46,0
648758,2021-07-07,2021-07-12,5,4352.78,1
587313,2023-04-29,2023-05-19,20,3459.13,1
611976,2021-01-17,2021-01-17,0,4533.51,0
618721,2022-10-04,2022-10-14,10,1859.57,1
621625,2022-05-19,2022-05-19,0,3543.41,0
572031,2021-07-05,2021-09-03,60,3516.6,1
560915,2022-08-11,2022-08-21,10,3363.36,1
513645,2022-12-30,2022-12-30,0,4733.4,0
580246,2021-09-09,2021-09-09,0,2757.1,0
532870,2023-08-24,2023-09-03,10,2164.5,1
599731,2023-12-17,2024-01-16,30,1755.74,1
508862,2022-08-03,2022-08-13,10,598.13,1
524733,2023-08-13,2023-10-12,60,4336.74,1
526374,2023-03-28,2023-04-27,30,4002.76,1
530096,2020-09-12,2020-09-12,0,1007.87,0
571415,2021-08-06,2021-08-06,0,3333.35,0
